name,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary
James Ennis,SF,28,PHI,18,281,9.9,0.51,0.434,0.27699999999999997,8.9,15.4,12.2,6.7,0.5,2.0,10.6,15.5,0.2,0.2,0.4,0.071,-2.6,-1.1,-3.7,-0.1,"$1,621,415"
Drew Eubanks,PF,21,SAS,23,113,15.1,0.6459999999999999,0.0,0.5,5.8,26.8,16.4,8.3,0.9,3.7,20.1,15.5,0.1,0.2,0.3,0.12,-1.9,0.7,-1.3,0.0,"$77,250"
Jacob Evans,SG,21,GSW,30,204,3.5,0.374,0.28300000000000003,0.019,3.3,9.5,6.5,13.7,1.2,1.2,17.1,13.5,-0.3,0.2,-0.1,-0.03,-6.9,-1.2,-8.2,-0.3,"$1,646,400"
Jawun Evans,PG,22,TOT,8,65,0.1,0.214,0.214,0.0,1.7,19.0,10.2,19.7,2.2,0.0,30.0,13.2,-0.2,0.0,-0.2,-0.151,-10.4,0.1,-10.3,-0.1,"$1,455,492"
Jawun Evans,PG,22,PHO,7,64,0.7,0.231,0.154,0.0,1.7,19.3,10.4,20.0,2.2,0.0,31.6,12.7,-0.2,0.0,-0.2,-0.139,-9.8,0.5,-9.2,-0.1,"$1,455,492"
Jawun Evans,PG,22,OKC,1,1,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-52.4,-29.1,-81.4,0.0,"$1,455,492"
Tyreke Evans,SG,29,IND,69,1402,11.5,0.483,0.327,0.242,2.7,13.0,7.9,17.5,2.0,1.1,13.9,26.4,-1.7,2.0,0.3,0.01,-2.4,-0.3,-2.7,-0.2,"$12,400,000"
Dante Exum,PG,23,UTA,42,664,11.2,0.516,0.257,0.35700000000000004,2.7,8.3,5.5,24.1,1.0,0.6,15.7,21.3,0.2,0.7,1.0,0.069,-2.0,-0.1,-2.1,0.0,"$10,600,000"
Kenneth Faried,C,29,TOT,37,728,21.6,0.622,0.094,0.374,14.4,23.4,18.8,4.6,1.1,2.7,9.7,20.3,2.1,0.9,2.9,0.193,1.3,-1.5,-0.2,0.3,"$14,242,782"
Kenneth Faried,C,29,BRK,12,118,20.5,0.622,0.11900000000000001,0.381,13.4,25.7,19.6,2.8,0.8,2.7,10.9,19.6,0.2,0.2,0.4,0.168,1.5,-1.1,0.4,0.1,"$14,242,782"
Kenneth Faried,C,29,HOU,25,610,21.8,0.622,0.09,0.37200000000000005,14.6,23.0,18.7,4.9,1.2,2.6,9.4,20.4,1.8,0.7,2.5,0.198,1.3,-1.6,-0.4,0.3,"$14,242,782"
Derrick Favors,C,27,UTA,76,1766,21.8,0.624,0.126,0.368,12.9,21.3,17.2,8.0,1.5,4.8,10.5,19.4,4.4,3.5,7.9,0.215,1.8,1.5,3.3,2.4,"$16,900,000"
Raymond Felton,PG,34,OKC,33,379,11.2,0.505,0.452,0.096,1.1,8.4,4.6,18.7,1.2,1.3,9.0,16.6,0.3,0.4,0.7,0.087,-1.7,0.4,-1.3,0.1,"$2,393,887"
Terrance Ferguson,SG,20,OKC,74,1931,6.4,0.5660000000000001,0.6729999999999999,0.11800000000000001,1.7,6.0,3.8,4.8,1.0,0.7,9.4,10.6,1.2,1.6,2.8,0.07,-3.9,0.1,-3.8,-0.9,"$2,118,840"
Yogi Ferrell,PG,25,SAC,71,1067,12.7,0.55,0.423,0.19,1.2,9.5,5.3,17.0,1.6,0.3,9.5,16.3,1.3,0.6,1.9,0.087,-1.0,-0.4,-1.4,0.2,"$3,000,000"
Dorian Finney-Smith,SF,25,DAL,81,1985,11.0,0.53,0.48100000000000004,0.195,7.5,13.4,10.5,6.9,1.7,1.5,11.4,14.0,1.2,2.0,3.3,0.079,-1.8,0.4,-1.4,0.3,"$1,544,951"
Bryn Forbes,SG,25,SAS,82,2293,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5,"$3,125,000"
Evan Fournier,SG,26,ORL,81,2553,12.3,0.536,0.42100000000000004,0.159,1.6,9.4,5.4,17.6,1.4,0.4,11.9,22.1,0.8,2.5,3.2,0.061,-1.8,-0.6,-2.4,-0.3,"$17,000,000"
De'Aaron Fox,PG,21,SAC,81,2546,18.1,0.544,0.21100000000000002,0.37799999999999995,1.7,10.8,6.2,33.2,2.4,1.5,15.0,24.5,3.2,2.5,5.6,0.106,1.3,0.2,1.5,2.3,"$5,470,920"
Melvin Frazier,SG,22,ORL,10,44,1.2,0.33,0.28600000000000003,0.19,7.2,4.9,6.1,3.3,1.1,0.0,4.2,23.5,-0.2,0.0,-0.1,-0.133,-11.3,-3.2,-14.5,-0.1,"$1,050,000"
Tim Frazier,PG,28,TOT,59,1120,11.7,0.544,0.387,0.207,3.9,11.5,7.7,27.6,1.2,0.4,21.1,13.3,1.3,0.7,2.0,0.084,-1.4,-0.4,-1.8,0.1,"$1,832,107"
Tim Frazier,PG,28,NOP,47,909,11.6,0.552,0.395,0.21,3.7,11.8,7.8,28.0,1.3,0.4,22.0,12.3,1.1,0.4,1.5,0.081,-1.2,-0.2,-1.3,0.2,"$1,832,107"
Tim Frazier,PG,28,MIL,12,211,11.8,0.523,0.364,0.19699999999999998,4.6,10.0,7.5,26.0,1.1,0.4,18.2,17.4,0.2,0.3,0.4,0.09699999999999999,-2.4,-1.2,-3.6,-0.1,"$1,832,107"
Jimmer Fredette,SG,29,PHO,6,65,3.6,0.348,0.44799999999999995,0.207,1.7,10.4,6.0,17.5,2.2,0.0,13.6,24.2,-0.2,0.0,-0.2,-0.166,-8.4,-2.9,-11.3,-0.2,"$198,579"
Channing Frye,C,35,CLE,36,341,8.9,0.524,0.675,0.12,1.2,16.4,8.5,8.6,0.9,1.3,9.5,17.5,0.1,0.0,0.1,0.016,-1.7,-1.8,-3.5,-0.1,"$2,393,887"
Markelle Fultz,SG,20,PHI,19,427,10.5,0.452,0.09,0.239,6.6,10.6,8.7,19.5,1.9,0.9,12.7,19.3,-0.1,0.4,0.3,0.035,-3.3,0.2,-3.1,-0.1,"$8,339,880"
Danilo Gallinari,SF,30,LAC,68,2059,21.0,0.633,0.42100000000000004,0.45899999999999996,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,6.4,1.8,8.2,0.191,4.9,-0.5,4.3,3.3,"$21,587,579"
Langston Galloway,SG,27,DET,80,1745,10.7,0.534,0.647,0.16399999999999998,3.0,7.9,5.4,7.3,1.0,0.4,3.7,16.1,2.1,1.3,3.4,0.094,-0.9,-0.6,-1.5,0.2,"$7,000,000"
Billy Garrett,SG,24,NYK,4,63,9.8,0.452,0.29600000000000004,0.14800000000000002,0.0,5.1,2.5,18.0,0.8,1.3,6.5,20.9,0.0,0.0,0.0,-0.019,-3.9,-1.7,-5.5,-0.1,"$67,370"
